,Type,Name,Qty,MRP,Price
0,oil,Fortune Soya Health Refined Soyabean Oil (Pouch),1 l,130,110
1,oil,Grofers Mother's Choice Refined Soyabean Oil (Pouch),1 l,120,105
2,oil,Fortune Premium Kachi Ghani Pure Mustard Oil (Bottle),1 l,155,125
3,oil,Grofers Mother's Choice Kachi Ghani Mustard Oil (Bottle),1 l,145,114
4,oil,Grofers Mother's Choice Kachi Ghani Mustard Oil (Pouch),1 l,141,108
5,oil,Nature Fresh Kachi Ghani Pure Mustard Oil (Bottle),1 l,150,122
6,oil,Fortune Premium Kachi Ghani Pure Mustard Oil (Pouch),1 l,151,123
7,oil,Fortune Sunlite Refined Sunflower Oil (Pouch),1l,142,122
8,oil,Grofers Mother's Choice Refined Sunflower Oil (Pouch),1 l,120,117
9,oil,Parachute Coconut Oil - Free 100 ml Pack - Brand Offer,600ml + 100ml,250,250
10,oil,Pansari Sesame Oil/Til Oil (Bottle),1 l,180,128
11,oil,Pansari Kachi Ghani Mustard Oil,1 l,145,111
12,oil,Nature Fresh Acti Lite Refined Soyabean Oil (Pouch),1 l,125,106
13,oil,Fortune Health Refined Rice Bran Oil (Pouch),1 l,130,130
14,oil,Grofers Mother's Choice Rice Bran Oil (Pouch),1 l,125,104
15,oil,Bajaj Almond Drops Hair Oil,500 ml,280,252
16,oil,Saffola Gold Pro Healthy Lifestyle Blended Cooking Oil (Pouch),1 l,159,149
17,oil,Patanjali Mustard Oil (Bottle),1 l,130,130
18,oil,Dhara Mustard Oil (Bottle),1 l,155,124
19,oil,Emami Healthy & Tasty Kachi Ghani Mustard Oil (Bottle),1 l,155,122
20,oil,Emami Healthy & Tasty Refined Rice Bran Oil (Pouch),1 l,125,118
21,oil,Grofers Mother's Choice Kachi Ghani Mustard Oil (Jar),5 l,720,561
22,oil,Sweekar Refined Sunflower Oil (Pouch),1 l,132,110
23,oil,Emami Healthy & Tasty Refined Soyabean Oil (Pouch),1 l,125,106
24,oil,Saffola Active Pro Weight Watchers Blended Cooking Oil (Pouch),1 l,145,135
25,oil,Parachute Pure Coconut Oil (Bottle),300 ml,122,122
26,oil,Patanjali Kachi Ghani Pure Mustard Oil (Jar),5 l,650,650
27,oil,Dabur Amla Hair Oil,450 ml,199,188
28,oil,Grofers Mother's Choice Rice Bran Oil (Jar),5 l,725,544
29,oil,O'range Coconut Oil (Bottle),500 ml,219,130
30,oil,Fortune Soya Health Refined Soyabean Oil (Jar),5 l,680,579
31,oil,Indulekha Bringha Hair Oil,100 ml,432,388
32,oil,Oleev Pomace Olive Oil (Bottle),1 l,899,299
33,oil,Borges Extra Light Olive Oil (Bottle),2 l,2600,1061
34,oil,Fortune Goldnut Refined Groundnut Oil (Pouch),1 l,170,161
35,oil,Raag Gold Palmolein Oil (Pouch),1 l,115,85
36,oil,Nihar Naturals Shanti Amla Hair Oil,500 ml,155,148
37,oil,Leonardo Pomace Olive Oil (Tin),5 l,4699,1750
38,oil,Parachute Advansed Gold Coconut Hair Oil,400 ml,200,180
39,oil,Oleev Pomace Olive Oil (Tin),5 l,3999,1458
40,oil,Grofers Panch Deepam Pooja Oil,1 l,179,149
41,oil,Saffola Gold Pro Healthy Lifestyle Blended Cooking Oil (Jar),2 l,325,325
42,oil,Borges Refined Canola Oil (Bottle),1 l,399,215
43,oil,"Dabur Almond with Almond, Vitamin E and Soya Protein Hair Oil",500 ml,280,252
44,oil,Borges Classic Olive Oil (Bottle),1 l,1350,826
45,oil,Leonardo Extra Light Olive Oil,2 l,2599,826
46,oil,King's Refined Soyabean Oil (Pouch),1 l,120,98
47,oil,Navratna Garam Ayurvedic Hair Oil,200 ml,125,125
48,cereal,Grofers Happy Day Crunchy Choco Cereal,1.2 kg,455,329
49,cereal,Nestle NesPlus Crunchy Granola Nutty Honey Cereal,235 g,170,170
50,cereal,Soulfull Ragi Bites Choco Poco Cereal,1.2 kg,490,417
51,cereal,Nestle NesPlus Crunchy Flakes Corn & Oats Cereal,475 g,180,180
52,cereal,Grofers Happy Day Crunchy Almond & Raisin Muesli (Carton),500 g,300,234
53,cereal,Grofers Happy Day Crunchy Peanut Butter,340 g,159,128
54,cereal,Grofers Happy Day Crunchy Fruit & Nut Muesli (Carton),500 g,300,274
55,cereal,Fun Foods Creamy Peanut Butter,925 g,275,275
56,cereal,Nestle Ceregrow Multigrain With Milk & Fruits Junior Cereal (2-5 years),300 g,277,277
57,cereal,Nestle Cerelac Multigrain & Fruits Baby Cereal (12 months+),300 g,257,257
58,cereal,Nestle Cerelac 5 Grains & Fruits Baby Cereal (18 to 24 months),300 g,267,267
59,cereal,Nestle Cerelac Wheat Rice Mixed Fruit Baby Cereal (10 months+),300 g,242,242
60,cereal,Nestle Cerelac Wheat Apple Cherry Baby Cereal (8 months+),300 g,220,220
61,cereal,Nestle Cerelac Multigrain Dal Veg Baby Cereal (12 months+),300 g,257,257
62,cereal,Nestle Cerelac Wheat Rice Mixed Veg Baby Cereal (10 months+),300 g,246,246
63,cereal,Nestle Cerelac Rice Stage 1 Fortified Baby Cereal (6 months+),300 g,190,190
64,cereal,Nestle Cerelac 5 Grains & Vegetables Baby Cereal (18 to 24 months),300 g,267,267
65,cereal,Nestle Cerelac Wheat Apple Baby Cereal (6 months+),300 g,190,190
66,cereal,Soulfull Choco Fills + Vanilla Fills + Strawberry Fills Ragi Bites Cereal Combo - Brand Offer,6x30 g,99,99
67,cereal,Grofers Happy Day Instant Wheat Porridge,450 g,125,109
68,cereal,"Bagrry's Crunchy Almonds, Raisins & Honey Muesli (Jar)",1 kg,575,575
69,cereal,Soulfull Crunchy Millet Muesli,700 g,449,399
70,cereal,Soulfull Fruit & Nut Muesli,700 g,499,450
71,cereal,Grofers Happy Day Crunchy Fruit & Nut Muesli,75 g,50,39
72,cereal,Grofers Happy Day Crunchy No Added Sugar Muesli,75 g,50,39
73,cereal,Grofers Happy Day Crunchy Almond & Raisin Muesli,75 g,50,39
74,rice,India Gate Dubar Basmati Rice,5 kg,610,530
75,rice,Grofers Mother's Choice Dubar Basmati Rice,5 kg,605,317
76,rice,Kohinoor Charminar Rozana Basmati Rice,5 kg,515,364
77,rice,Kohinoor Charminar Long Grains Regular Rice,5 kg,499,328
78,rice,Kohinoor Charminar Everyday Basmati Rice,5 kg,445,340
79,rice,Daawat Rozana Super Basmati Rice,5 kg,435,349
80,rice,Grofers Mother's Choice Everyday/Rozana Basmati Rice,5 kg,490,314
81,rice,Family Farm Broken Mogra Basmati Rice,10 kg,650,338
82,rice,India Gate Feast Rozzana Basmati Rice,5 kg,485,416
83,rice,Fortune Everyday Hamesha Basmati Rice,5 kg,425,321
84,rice,Fortune Health Refined Rice Bran Oil (Pouch),1 l,130,130
85,rice,Grofers Mother's Choice Rice Bran Oil (Pouch),1 l,125,104
86,rice,Emami Healthy & Tasty Refined Rice Bran Oil (Pouch),1 l,125,118
87,rice,Pansari Mahak Mogra Basmati Rice,10 kg,620,407
88,rice,Grofers Mother's Choice Steam Sonamasuri Rice,5 kg,390,236
89,rice,India Gate Broken Mogra Basmati Rice,10 kg,735,677
90,rice,India Gate Super Basmati Rice,5 kg,850,653
91,rice,Grofers Mother's Choice Long Grain Regular Rice,5 kg,490,243
92,rice,Daawat Devaaya Basmati Rice,5 kg,545,456
93,rice,Family Farm Long Grain Regular Rice,5 kg,400,213
94,rice,Daawat Rozana Gold Basmati Rice,5 kg,495,398
95,rice,Daawat Super Basmati Rice,1 kg,165,147
96,rice,Grofers Mother's Choice Brown Basmati Rice,1 kg,135,86
97,rice,Grofers Mother's Choice Rice Bran Oil (Jar),5 l,725,544
98,rice,India Gate Mini Broken Mogra Basmati Rice,10 kg,535,508
99,rice,Family Farm Classic Basmati Rice,1 kg,150,74
100,rice,Fortune Rozana Basmati Rice,1 kg,130,69
101,rice,Daawat Rozana Mini Mogra Basmati Rice,10 kg,525,450
102,rice,Pansari Tasty Basmati Rice,10 kg,900,617
103,rice,Daawat Brown Basmati Rice (Jar),1 kg,165,158
104,rice,Pansari Signature Basmati Rice,5 kg,1195,658
105,rice,India Gate Regular Choice Basmati Rice,5 kg,445,382
